 waffle ,smear,chicken,drizzel,side,price,calories,protein,sodium,carbs,energy,num_occ
Sweet Potato,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,597.4,40.7,382.7,74.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,610.4,35.7,212.7,74.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,662.4,35.7,977.7,93.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,593.4,40.7,297.7,67.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,662.4,35.7,977.7,93.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,690.4,30.7,742.7,87.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,685.4,42.7,1282.7,84.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,671.0,41.7,974.0,68.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,696.4,42.7,1042.7,71.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,679.4,30.7,937.7,100.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Caramel & Salted Cashew,Fresh-Cut Fruit,21.75,629.4,38.7,222.7,89.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,684.0,36.7,849.0,68.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,690.4,30.7,787.7,87.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,686.0,35.7,1234.0,64.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Candied Pecans,Fresh-Cut Fruit,21.75,696.4,38.7,279.7,82.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,679.4,30.7,937.7,100.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,696.4,42.7,1042.7,71.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,692.4,38.7,837.7,95.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,688.0,35.7,929.0,74.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,692.4,39.7,842.7,96.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,694.4,31.7,877.7,95.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,685.4,42.7,1237.7,84.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,686.0,43.7,894.0,75.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,617.4,40.7,422.7,74.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,673.0,35.7,994.0,80.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,686.0,43.7,849.0,75.0,21.75,1
Sweet Potato,Vanilla-Almond,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,682.4,35.7,1062.7,93.0,21.75,1
