 waffle ,smear,chicken,drizzel,side,price,calories,protein,sodium,carbs,energy,num_occ
The Vegan,Orange-Honeycomb,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,671.9,32.6,1710.2,69.2,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),22.75,611.9,39.9,552.0,89.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Sautéed Squash & Onions,22.75,634.9,46.9,857.0,80.3,22.75,1
The Gingerbread,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,559.9,39.9,1133.0,70.3,22.75,1
The Vegan,Strawberry-Creme,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,22.75,604.9,32.6,1100.2,56.2,22.75,1
The Vegan,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,576.9,37.6,1290.2,62.2,22.75,1
The Vegan,Peach-Apricot,A panko-crusted chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),22.75,667.9,33.6,1675.2,63.2,22.75,1
The Vegan,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,591.9,37.6,1180.2,56.2,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,22.75,565.9,46.9,1113.0,70.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,542.9,39.9,853.0,79.3,22.75,1
The Gingerbread,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,22.75,639.9,29.9,1298.0,99.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,22.75,559.9,34.9,768.0,86.3,22.75,1
The Vegan,Orange-Honeycomb,A chicken cutlet,Caramel & Salted Cashew,Fresh-Cut Fruit,22.75,623.9,35.6,1065.2,71.2,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Candied Pecans,Sautéed Squash & Onions,22.75,662.9,48.9,890.0,64.3,22.75,1
The Gingerbread,Vanilla-Almond,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,22.75,676.9,41.9,1488.0,70.3,22.75,1
The Gingerbread,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,22.75,639.9,29.9,1298.0,99.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Sautéed Squash & Onions,22.75,634.9,47.9,862.0,81.3,22.75,1
The Gingerbread,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,622.9,34.9,1338.0,92.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Honey Dijon,Smooth Grits,22.75,672.9,38.9,1198.0,93.3,22.75,1
The Vegan,Peach-Apricot,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),22.75,686.9,36.6,1685.2,78.2,22.75,1
The Vegan,Strawberry-Creme,A panko-crusted chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,22.75,688.9,27.6,1715.2,76.2,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,22.75,559.9,34.9,813.0,86.3,22.75,1
