 waffle ,smear,chicken,drizzel,side,price,calories,protein,sodium,carbs,energy,num_occ
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,664.4,35.7,1412.7,90.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,694.0,48.7,1234.0,59.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,671.0,41.7,974.0,68.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,673.0,36.7,1044.0,81.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,662.4,35.7,1022.7,93.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,686.0,43.7,894.0,75.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,582.4,40.7,492.7,80.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,658.0,40.7,1469.0,70.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,632.4,43.7,347.7,82.0,21.75,1
The Gingerbread,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Fresh-Cut Fruit,22.75,671.9,32.9,1548.0,98.3,22.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),21.75,651.4,41.7,241.7,91.0,21.75,1
Sweet Potato,Vanilla-Almond,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,697.4,35.7,952.7,87.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Sautéed Squash & Onions,21.75,676.4,47.7,886.7,78.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,662.4,35.7,977.7,93.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,679.4,35.7,1302.7,84.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,681.0,47.7,1729.0,61.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,612.4,44.7,312.7,83.0,21.75,1
