,start,end,modes,length,time,cost,env_cost,leg
0,"Cary,NC,USA","Chapel Hill,NC,USA",driving,22.779,31.483,15.034,17.54,"Cary,NC,USA to Chapel Hill,NC,USA"
1,"Cary,NC,USA","Chapel Hill,NC,USA",walking,20.57,407.8,0.0,0.0,"Cary,NC,USA to Chapel Hill,NC,USA"
2,"Cary,NC,USA","Chapel Hill,NC,USA",transit,26.577,75.75,1.661,15.68,"Cary,NC,USA to Chapel Hill,NC,USA"
3,"Cary,NC,USA","Chapel Hill,NC,USA",bicycling,22.934,121.7,0.0,0.0,"Cary,NC,USA to Chapel Hill,NC,USA"
4,"Cary,NC,USA","Fayetteville,NC,USA",driving,71.497,68.45,47.188,55.053,"Cary,NC,USA to Fayetteville,NC,USA"
5,"Cary,NC,USA","Fayetteville,NC,USA",walking,62.297,1218.967,0.0,0.0,"Cary,NC,USA to Fayetteville,NC,USA"
6,"Cary,NC,USA","Fayetteville,NC,USA",transit,78.851,137.1,4.928,46.522,"Cary,NC,USA to Fayetteville,NC,USA"
7,"Cary,NC,USA","Fayetteville,NC,USA",bicycling,66.833,331.283,0.0,0.0,"Cary,NC,USA to Fayetteville,NC,USA"
8,"Cary,NC,USA","2407 castleburg drive, nc usa",driving,7.118,15.883,4.698,5.481,"Cary,NC,USA to 2407 castleburg drive, nc usa"
9,"Cary,NC,USA","2407 castleburg drive, nc usa",walking,7.025,138.367,0.0,0.0,"Cary,NC,USA to 2407 castleburg drive, nc usa"
10,"Cary,NC,USA","2407 castleburg drive, nc usa",bicycling,7.851,43.15,0.0,0.0,"Cary,NC,USA to 2407 castleburg drive, nc usa"
11,"Durham,NC,USA","Chapel Hill,NC,USA",driving,11.488,28.933,7.582,8.846,"Durham,NC,USA to Chapel Hill,NC,USA"
12,"Durham,NC,USA","Chapel Hill,NC,USA",walking,11.994,241.6,0.0,0.0,"Durham,NC,USA to Chapel Hill,NC,USA"
13,"Durham,NC,USA","Chapel Hill,NC,USA",transit,14.138,58.283,0.884,8.341,"Durham,NC,USA to Chapel Hill,NC,USA"
14,"Durham,NC,USA","Chapel Hill,NC,USA",bicycling,12.921,78.95,0.0,0.0,"Durham,NC,USA to Chapel Hill,NC,USA"
15,"Durham,NC,USA","Fayetteville,NC,USA",driving,88.941,86.05,58.701,68.485,"Durham,NC,USA to Fayetteville,NC,USA"
16,"Durham,NC,USA","Fayetteville,NC,USA",walking,78.152,1536.033,0.0,0.0,"Durham,NC,USA to Fayetteville,NC,USA"
17,"Durham,NC,USA","Fayetteville,NC,USA",transit,96.754,193.367,6.047,57.085,"Durham,NC,USA to Fayetteville,NC,USA"
18,"Durham,NC,USA","Fayetteville,NC,USA",bicycling,85.484,430.0,0.0,0.0,"Durham,NC,USA to Fayetteville,NC,USA"
19,"Durham,NC,USA","2407 castleburg drive, nc usa",driving,21.435,27.55,14.147,16.505,"Durham,NC,USA to 2407 castleburg drive, nc usa"
20,"Durham,NC,USA","2407 castleburg drive, nc usa",walking,18.626,370.117,0.0,0.0,"Durham,NC,USA to 2407 castleburg drive, nc usa"
21,"Durham,NC,USA","2407 castleburg drive, nc usa",bicycling,22.613,121.1,0.0,0.0,"Durham,NC,USA to 2407 castleburg drive, nc usa"
22,"101 renoir court, NC, USA","Chapel Hill,NC,USA",driving,24.772,38.233,16.35,19.074,"101 renoir court, NC, USA to Chapel Hill,NC,USA"
23,"101 renoir court, NC, USA","Chapel Hill,NC,USA",walking,21.531,426.967,0.0,0.0,"101 renoir court, NC, USA to Chapel Hill,NC,USA"
24,"101 renoir court, NC, USA","Chapel Hill,NC,USA",transit,32.373,107.317,2.023,19.1,"101 renoir court, NC, USA to Chapel Hill,NC,USA"
25,"101 renoir court, NC, USA","Chapel Hill,NC,USA",bicycling,25.011,135.25,0.0,0.0,"101 renoir court, NC, USA to Chapel Hill,NC,USA"
26,"101 renoir court, NC, USA","Fayetteville,NC,USA",driving,72.753,71.633,48.017,56.02,"101 renoir court, NC, USA to Fayetteville,NC,USA"
27,"101 renoir court, NC, USA","Fayetteville,NC,USA",walking,61.148,1198.167,0.0,0.0,"101 renoir court, NC, USA to Fayetteville,NC,USA"
28,"101 renoir court, NC, USA","Fayetteville,NC,USA",transit,86.253,195.867,5.391,50.889,"101 renoir court, NC, USA to Fayetteville,NC,USA"
29,"101 renoir court, NC, USA","Fayetteville,NC,USA",bicycling,65.587,325.467,0.0,0.0,"101 renoir court, NC, USA to Fayetteville,NC,USA"
30,"101 renoir court, NC, USA","2407 castleburg drive, nc usa",driving,4.998,11.55,3.299,3.848,"101 renoir court, NC, USA to 2407 castleburg drive, nc usa"
31,"101 renoir court, NC, USA","2407 castleburg drive, nc usa",walking,4.978,98.533,0.0,0.0,"101 renoir court, NC, USA to 2407 castleburg drive, nc usa"
32,"101 renoir court, NC, USA","2407 castleburg drive, nc usa",bicycling,5.08,28.683,0.0,0.0,"101 renoir court, NC, USA to 2407 castleburg drive, nc usa"
